;AnoMes;Municipio_Ibge;Municipio;Estado_Ibge;Estado;Sigla_Regiao;Regiao;VL_PagadorPF;QT_PagadorPF;VL_PagadorPJ;QT_PagadorPJ;VL_RecebedorPF;QT_RecebedorPF;VL_RecebedorPJ;QT_RecebedorPJ;QT_PES_PagadorPF;QT_PES_PagadorPJ;QT_PES_RecebedorPF;QT_PES_RecebedorPJ
5318;2022-05-01;3135308;JAPARAÍBA;31;MINAS GERAIS;SE;SUDESTE;4368276,16;15079;1019278,31;942;4635997,7;11563;743847,23;2914;1338;103;1256;101
2428;2022-05-01;3170909;VARZELÂNDIA;31;MINAS GERAIS;SE;SUDESTE;17289905,53;84149;4231929,45;3555;17265546,03;70688;3083134,09;10756;5919;205;5789;196
5282;2022-05-01;2210201;SÃO JOSÉ DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;3093957,14;16346;597580,68;468;3240532,32;14479;648656,06;823;1391;38;1469;30
1997;2022-05-01;4317251;SANTA TEREZA;43;RIO GRANDE DO SUL;SU;SUL;694323,6;2821;188109,98;116;800361,39;1760;193482,87;303;364;29;334;31
4320;2022-05-01;1701002;ANANÁS;17;TOCANTINS;NO;NORTE;13590940,52;70471;4793645,71;2820;13443986,13;59705;5177589,71;5900;4103;175;4205;165
5287;2022-05-01;2100832;APICUM-AÇU;21;MARANHÃO;NE;NORDESTE;11928727,83;63875;1530669,41;1047;11717503,65;54001;1570317,77;2109;3851;76;3810;76
637;2022-05-01;3165800;SENADOR JOSÉ BENTO;31;MINAS GERAIS;SE;SUDESTE;1606340,02;4661;148124,87;164;1389080,45;3430;164207,37;284;465;22;413;22
1770;2022-05-01;5106182;NOVA LACERDA;51;MATO GROSSO;CO;CENTRO-OESTE;11147994,88;28625;3999214,23;2111;10334878,83;20433;3448164,44;5012;2297;135;2162;135
449;2022-05-01;3123528;DURANDÉ;31;MINAS GERAIS;SE;SUDESTE;5203133,1;18979;1789575,91;1076;4469729,87;14225;717838,02;2328;1948;106;1804;83
5257;2022-05-01;3517604;GUAPIARA;35;SÃO PAULO;SE;SUDESTE;17648274,58;66823;10125292,6;3910;18654311,4;52311;8343887,56;6630;5830;236;5665;231
5854;2022-05-01;3549102;SÃO JOÃO DA BOA VISTA;35;SÃO PAULO;SE;SUDESTE;175320672,83;482074;125163974,63;56467;196331611,89;402928;147840318,71;110718;39417;3801;38585;3660
536;2022-05-01;5204706;CAMPINORTE;52;GOIÁS;CO;CENTRO-OESTE;31338480,38;75432;17712651,03;5026;30284569,43;63863;16028449,92;20508;4607;306;4764;322
5418;2022-05-01;2107407;OLHO D'ÁGUA DAS CUNHÃS;21;MARANHÃO;NE;NORDESTE;17795187,36;105922;1955796,83;1952;17205379,35;84940;2872140,08;7686;5851;100;5791;105
5267;2022-05-01;3524204;JABORANDI;35;SÃO PAULO;SE;SUDESTE;9448936,98;27172;1970444,79;1674;10690834,61;19858;1710533,59;2787;2382;143;2249;122
1486;2022-05-01;2111078;SÃO JOÃO DO SOTER;21;MARANHÃO;NE;NORDESTE;9205588,92;52755;610734,79;748;8187772,4;42017;600240,75;1646;3317;59;3523;54
1394;2022-05-01;5106703;PONTE BRANCA;51;MATO GROSSO;CO;CENTRO-OESTE;3374135,89;9544;260125,76;344;3205616,48;7705;370974,67;764;668;31;669;30
2675;2022-05-01;4114401;MANGUEIRINHA;41;PARANÁ;SU;SUL;26790948,95;57749;30471046,45;7665;34148157,6;40834;15232459,35;13840;5542;476;5481;491
4308;2022-05-01;2203503;ELESBÃO VELOSO;22;PIAUÍ;NE;NORDESTE;8617489,22;53536;2074409,66;924;8832862,0;46697;1196069,73;3093;3819;89;3926;92
5829;2022-05-01;2612406;SANHARÓ;26;PERNAMBUCO;NE;NORDESTE;13624777,13;52841;2552993,65;2158;13644841,93;46089;1849004,04;5334;4145;159;4484;138
2329;2022-05-01;4304408;CANELA;43;RIO GRANDE DO SUL;SU;SUL;85478647,69;292045;62925623,83;44857;94001392,76;234822;75113231,51;81589;22204;2648;22020;2439
1866;2022-05-01;3144409;NATÉRCIA;31;MINAS GERAIS;SE;SUDESTE;4446603,43;12294;1203051,08;832;4075577,45;9438;3858984,25;1672;1275;97;1232;100
5166;2022-05-01;4120309;PORTO VITÓRIA;41;PARANÁ;SU;SUL;2312953,87;8459;1480759,02;1174;2838035,43;6911;1610676,04;1481;975;81;998;79
3697;2022-05-01;1200054;ASSIS BRASIL;12;ACRE;NO;NORTE;4842725,62;20706;1430480,28;923;4870786,99;16902;410314,44;1084;1523;52;1598;52
3521;2022-05-01;2202075;CAJAZEIRAS DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;1501526,06;10908;580621,65;270;1512543,2;8741;205632,02;555;710;20;822;17
2708;2022-05-01;2913705;INHAMBUPE;29;BAHIA;NE;NORDESTE;32520713,77;151287;15203105,88;8042;31706991,75;127334;12983517,6;16709;10161;445;10994;435
474;2022-05-01;3133204;ITANHOMI;31;MINAS GERAIS;SE;SUDESTE;13727027,18;39120;2816470,31;1974;15392720,33;30314;2974497,44;5075;3432;190;3577;211
5518;2022-05-01;2311900;SABOEIRO;23;CEARÁ;NE;NORDESTE;14420645,79;61584;1049577,12;1115;14151085,25;57815;798318,09;2839;3964;67;4064;61
4741;2022-05-01;2920601;MARAGOGIPE;29;BAHIA;NE;NORDESTE;31862974,36;206313;3826962,19;4318;32719025,72;185047;3082059,81;7662;10960;248;11784;250
3516;2022-05-01;2414001;TANGARÁ;24;RIO GRANDE DO NORTE;NE;NORDESTE;16530255,95;92064;4111774,92;3236;16309419,0;85838;4013722,24;9846;5085;163;5360;161
4553;2022-05-01;2703700;JARAMATAIA;27;ALAGOAS;NE;NORDESTE;4229727,48;15490;1243776,18;447;4171686,75;13033;555082,09;445;1235;27;1354;26
1808;2022-05-01;1501253;BANNACH;15;PARÁ;NO;NORTE;5491349,76;18010;795094,29;787;5728803,38;13007;1449934,51;1984;1212;49;1168;46
3862;2022-05-01;2703205;IGREJA NOVA;27;ALAGOAS;NE;NORDESTE;11845104,21;54156;999981,3;1074;12539125,53;44940;881054,97;1442;4833;81;5147;77
1013;2022-05-01;3156809;SABINÓPOLIS;31;MINAS GERAIS;SE;SUDESTE;13221980,06;47652;3084533,17;2581;14244575,51;39179;3060353,3;6240;4231;206;4355;215
3550;2022-05-01;2108009;PASTOS BONS;21;MARANHÃO;NE;NORDESTE;17150530,14;90387;5686552,25;3210;16298888,59;73318;5267903,0;9056;5169;157;5331;158
5843;2022-05-01;2304269;DEPUTADO IRAPUAN PINHEIRO;23;CEARÁ;NE;NORDESTE;6516191,55;29448;1759392,81;762;6512492,47;26718;1315151,3;2319;2162;56;2290;50
399;2022-05-01;4215307;SALETE;42;SANTA CATARINA;SU;SUL;9009534,31;27816;20089978,78;6022;9703607,09;17048;14566463,1;9878;2841;429;2575;422
222;2022-05-01;4107108;DIAMANTE DO NORTE;41;PARANÁ;SU;SUL;6145002,96;23528;4366956,69;1644;6382678,12;17600;4494734,75;4941;2041;116;1968;123
5509;2022-05-01;3121506;DESTERRO DO MELO;31;MINAS GERAIS;SE;SUDESTE;2274269,99;6547;807292,06;330;2961149,7;6459;684176,54;583;728;36;735;34
3455;2022-05-01;4302584;BOZANO;43;RIO GRANDE DO SUL;SU;SUL;2240609,57;4206;1007367,08;437;1521144,69;2632;636276,74;437;481;33;399;29
2439;2022-05-01;5207600;FAZENDA NOVA;52;GOIÁS;CO;CENTRO-OESTE;8821511,91;25766;1835252,16;1239;10301619,72;20028;1896597,69;2839;1846;107;1837;108
1266;2022-05-01;3148509;PAVÃO;31;MINAS GERAIS;SE;SUDESTE;6201386,65;28134;3160544,58;1449;5985776,02;22752;1937426,58;2578;2186;99;2304;115
3846;2022-05-01;5219704;SANTA TEREZINHA DE GOIÁS;52;GOIÁS;CO;CENTRO-OESTE;22774816,81;52938;5485824,21;4557;25201329,6;41737;4985036,45;10892;3397;244;3577;246
4250;2022-05-01;2602803;BUÍQUE;26;PERNAMBUCO;NE;NORDESTE;23475266,99;103955;3470503,98;3167;24572217,6;92223;5289076,34;7618;8877;226;9679;225
2090;2022-05-01;1506112;QUATIPURU;15;PARÁ;NO;NORTE;7650697,99;47694;1641720,77;1338;7957293,52;40020;1197909,34;3042;3099;70;3285;65
4488;2022-05-01;2615904;TUPARETAMA;26;PERNAMBUCO;NE;NORDESTE;8827841,12;36869;1716519,41;978;8238739,92;30012;1265955,35;2688;2709;86;2783;82
3388;2022-05-01;2511707;PILÕEZINHOS;25;PARAÍBA;NE;NORDESTE;2460405,56;12961;315882,02;574;2724121,45;11996;104135,96;397;1028;27;1134;20
3389;2022-05-01;3527256;LOURDES;35;SÃO PAULO;SE;SUDESTE;2355927,39;8844;267938,72;386;2500902,29;6485;236766,31;1097;766;30;753;32
2746;2022-05-01;4315602;RIO GRANDE;43;RIO GRANDE DO SUL;SU;SUL;301313555,61;1288350;492559822,99;112629;313042681,02;1077563;629662069,93;201787;95758;5751;93831;5374
292;2022-05-01;2205540;LAGOINHA DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;1628124,3;8424;192463,37;237;1612018,23;6892;819725,46;741;625;13;705;11
1418;2022-05-01;2307254;JIJOCA DE JERICOACOARA;23;CEARÁ;NE;NORDESTE;37731378,93;179673;19649709,04;23456;39203253,85;165759;22109378,54;75949;8425;1027;8504;946
798;2022-05-01;2907558;CATURAMA;29;BAHIA;NE;NORDESTE;3296436,86;13371;380343,51;302;3505683,64;10815;278571,45;479;1241;47;1328;37
799;2022-05-01;2504207;CATINGUEIRA;25;PARAÍBA;NE;NORDESTE;3654049,25;17585;661471,57;385;3861471,92;15224;314153,8;842;1203;28;1355;23
5764;2022-05-01;2801306;CAPELA;28;SERGIPE;NE;NORDESTE;24022265,74;130084;8294335,27;3613;23462223,17;107635;8651943,68;9581;8548;227;9103;222
2975;2022-05-01;2513943;SÃO DOMINGOS DO CARIRI;25;PARAÍBA;NE;NORDESTE;2306100,97;9581;30495,5;134;2294031,65;8463;65342,74;203;683;7;708;15
4854;2022-05-01;2609501;NAZARÉ DA MATA;26;PERNAMBUCO;NE;NORDESTE;26502187,46;148713;6782791,57;4788;27438714,03;127829;51654368,61;10056;9812;307;10561;290
3629;2022-05-01;2803203;ITAPORANGA D'AJUDA;28;SERGIPE;NE;NORDESTE;27463240,32;162366;138086117,96;6520;27875358,9;138608;18446996,57;15766;10055;339;10926;305
2563;2022-05-01;4200705;ALFREDO WAGNER;42;SANTA CATARINA;SU;SUL;12436439,32;26843;5049256,05;4108;14837402,39;18545;5563983,56;9370;2883;340;2700;350
2559;2022-05-01;4106001;CONGONHINHAS;41;PARANÁ;SU;SUL;7634462,91;28123;2383180,16;2240;8193979,23;21628;2777894,67;4383;2488;153;2482;149
2823;2022-05-01;2105658;JUNCO DO MARANHÃO;21;MARANHÃO;NE;NORDESTE;5682852,07;27975;761825,67;673;5414954,78;23819;1004581,91;1435;1656;25;1712;26
3942;2022-05-01;2704104;LAGOA DA CANOA;27;ALAGOAS;NE;NORDESTE;13639699,94;54247;2654473,39;2005;13841165,06;45701;1680420,62;2519;4266;108;4491;89
4160;2022-05-01;2910750;FÁTIMA;29;BAHIA;NE;NORDESTE;14258379,55;58363;2560883,97;1884;13897156,46;50904;3060004,38;4128;4317;141;4618;130
5798;2022-05-01;1400407;NORMANDIA;14;RORAIMA;NO;NORTE;4788585,9;26130;2405948,45;1684;4106459,39;18870;1591478,34;3627;1459;42;1445;44
4648;2022-05-01;2300408;AIUABA;23;CEARÁ;NE;NORDESTE;10665242,95;58414;817895,71;1174;10332063,51;52674;812589,92;2482;3850;94;3940;90
2212;2022-05-01;2702405;DELMIRO GOUVEIA;27;ALAGOAS;NE;NORDESTE;52325853,24;263451;11122448,59;11585;51890751,84;224427;10074321,38;27681;17266;660;18603;632
5912;2022-05-01;2409407;PAU DOS FERROS;24;RIO GRANDE DO NORTE;NE;NORDESTE;44794653,27;197548;25892516,41;11951;43762261,97;176407;29250714,14;38992;11923;681;12060;697
2094;2022-05-01;1600303;MACAPÁ;16;AMAPÁ;NO;NORTE;892180341,92;5530627;355150234,69;297457;904530189,97;4927586;335214538,26;603579;246962;9916;248151;9385
3833;2022-05-01;3135001;JAGUARAÇU;31;MINAS GERAIS;SE;SUDESTE;3374194,26;15220;2493808,16;794;3815300,06;11793;2335254,16;1709;1116;70;1137;53
5503;2022-05-01;4105201;CERRO AZUL;41;PARANÁ;SU;SUL;18656280,05;55871;7646616,61;4423;21806546,77;48450;6650195,66;7162;5149;255;5162;243
2609;2022-05-01;2915908;ITANAGRA;29;BAHIA;NE;NORDESTE;5670265,16;38965;1173139,14;1486;6024696,71;31103;1090807,63;2858;2228;78;2388;73
5599;2022-05-01;2506004;ESPERANÇA;25;PARAÍBA;NE;NORDESTE;35242246,07;137904;20547472,58;10559;35111624,66;122968;19179832,97;18497;9181;635;9890;578
745;2022-05-01;3520608;INDIANA;35;SÃO PAULO;SE;SUDESTE;6848295,94;24291;3056772,14;2306;7500179,42;20487;2478604,13;3468;2017;152;1961;144
3067;2022-05-01;3550803;SÃO SEBASTIÃO DA GRAMA;35;SÃO PAULO;SE;SUDESTE;10356240,21;33236;8396041,24;3480;10855872,84;26331;10798280,64;6131;3316;294;3211;304
2606;2022-05-01;2106904;MONÇÃO;21;MARANHÃO;NE;NORDESTE;13556068,61;93255;2683632,94;1756;12792212,23;74495;1753159,41;6111;5795;91;5917;94
4512;2022-05-01;3536257;PARISI;35;SÃO PAULO;SE;SUDESTE;3589344,44;9237;847345,32;866;3476548,12;7771;455203,53;1443;824;61;811;52
5781;2022-05-01;2611309;POMBOS;26;PERNAMBUCO;NE;NORDESTE;25670935,97;101377;12732084,94;6681;26383391,41;93417;13169700,13;12287;7041;280;7459;260
259;2022-05-01;4306353;DEZESSEIS DE NOVEMBRO;43;RIO GRANDE DO SUL;SU;SUL;1535616,04;5753;1480461,85;328;1738167,12;3970;1574659,13;522;629;23;593;30
2594;2022-05-01;2207405;PALMEIRA DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;5156811,36;24854;629380,24;881;5536133,88;19830;1163636,12;1858;1659;53;1709;51
3657;2022-05-01;2202778;COLÔNIA DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;3903866,88;22283;309241,28;354;4706310,99;18257;177394,61;1080;1524;34;1827;36
2055;2022-05-01;2605509;FERREIROS;26;PERNAMBUCO;NE;NORDESTE;9011054,31;44993;1225517,13;1642;8685157,65;39973;1065328,38;3381;3170;100;3258;99
3363;2022-05-01;3501806;AMÉRICO DE CAMPOS;35;SÃO PAULO;SE;SUDESTE;7106746,87;23803;1460742,02;1277;8086656,45;19179;1701739,6;3435;2175;123;2070;135
4500;2022-05-01;1200138;BUJARI;12;ACRE;NO;NORTE;8680602,49;44158;4112132,54;2407;8650311,97;35935;2839722,44;4409;2801;96;2951;86
1216;2022-05-01;3540606;PORTO FELIZ;35;SÃO PAULO;SE;SUDESTE;89482334,52;319328;70333651,97;35143;105558114,99;258679;78611616,33;67934;24389;1939;23996;1855
766;2022-05-01;4306502;DOM FELICIANO;43;RIO GRANDE DO SUL;SU;SUL;9371071,53;29432;2862048,29;2015;9225526,38;19498;2913134,75;4920;3009;168;2733;164
1658;2022-05-01;1702703;AURORA DO TOCANTINS;17;TOCANTINS;NO;NORTE;2889646,32;13331;334956,15;550;3522118,69;10321;389272,86;1207;849;34;888;32
1661;2022-05-01;5201405;APARECIDA DE GOIÂNIA;52;GOIÁS;CO;CENTRO-OESTE;1315972134,75;5125947;1137531433,08;439795;1470221286,75;4725297;1119815473,55;916411;269583;17379;285616;16142
3370;2022-05-01;5212501;LUZIÂNIA;52;GOIÁS;CO;CENTRO-OESTE;371381251,7;1612839;282323266,47;113849;409968398,46;1451044;197526822,53;240577;90466;4997;96737;4664
3086;2022-05-01;3553906;TARABAI;35;SÃO PAULO;SE;SUDESTE;8142832,61;33830;3875082,25;2813;8730940,49;27144;4029266,26;4235;2599;168;2573;154
772;2022-05-01;3110707;CAMBUQUIRA;31;MINAS GERAIS;SE;SUDESTE;12949579,36;50464;4414874,55;3745;13974560,27;42285;3711320,96;8511;4076;326;4199;326
5357;2022-05-01;5205059;CASTELÂNDIA;52;GOIÁS;CO;CENTRO-OESTE;5624211,27;15322;2043843,9;990;4757828,93;11986;1902412,71;1693;1290;62;1238;58
4677;2022-05-01;4107504;ENGENHEIRO BELTRÃO;41;PARANÁ;SU;SUL;21348214,15;60999;13006316,5;6734;25638661,48;44946;13242659,04;12832;5020;420;5004;434
759;2022-05-01;3103108;ANTÔNIO PRADO DE MINAS;31;MINAS GERAIS;SE;SUDESTE;1467283,97;6064;95511,25;155;1424610,56;5211;57127,0;260;466;24;466;16
3955;2022-05-01;2804300;MURIBECA;28;SERGIPE;NE;NORDESTE;4784018,78;24501;1112264,43;973;4935552,27;20176;2758002,93;1588;1893;39;1984;34
5283;2022-05-01;5214838;NOVA CRIXÁS;52;GOIÁS;CO;CENTRO-OESTE;26685813,48;61702;13685688,42;8168;24876417,67;54775;14779072,92;13869;3933;285;4159;292
838;2022-05-01;1718303;PRAIA NORTE;17;TOCANTINS;NO;NORTE;7016450,63;40902;503938,63;500;7290372,1;35523;370683,47;1157;2318;31;2552;28
4139;2022-05-01;3503307;ARARAS;35;SÃO PAULO;SE;SUDESTE;226762908,77;726366;172817362,49;84567;235425353,76;608979;164079373,77;216642;60163;5099;58467;4783
4465;2022-05-01;2208502;PORTO;22;PIAUÍ;NE;NORDESTE;6485533,71;42252;2263082,02;1926;6668960,91;36203;1124690,47;3667;2726;87;2995;85
1547;2022-05-01;2205151;JACOBINA DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;3024999,93;14027;993613,59;1036;3018616,46;11161;984928,54;1923;963;52;1019;50
1729;2022-05-01;3515194;ESPÍRITO SANTO DO TURVO;35;SÃO PAULO;SE;SUDESTE;4179175,85;17256;1949776,08;1115;4919388,81;13627;1260746,09;1527;1632;87;1675;78
1612;2022-05-01;3534807;OURO VERDE;35;SÃO PAULO;SE;SUDESTE;7331580,14;30238;2580940,58;2272;7655241,91;23529;5953712,89;3894;2537;149;2591;142
3970;2022-05-01;3519055;HOLAMBRA;35;SÃO PAULO;SE;SUDESTE;48667636,11;103272;50635454,86;14386;48211755,19;76798;50311659,54;31371;7637;893;7423;856
2882;2022-05-01;1503457;IPIXUNA DO PARÁ;15;PARÁ;NO;NORTE;21075458,79;116871;7016515,85;5149;21302352,55;99101;5623583,73;12490;6737;247;6912;246
2027;2022-05-01;4219150;VARGEM;42;SANTA CATARINA;SU;SUL;2365523,42;6089;617071,91;489;2363277,62;4489;711016,48;791;689;39;646;48
2235;2022-05-01;2400604;ALMINO AFONSO;24;RIO GRANDE DO NORTE;NE;NORDESTE;6025233,51;30979;1125432,03;659;5102090,78;26724;1422494,83;1748;1681;49;1641;40
840;2022-05-01;4204194;CHAPADÃO DO LAGEADO;42;SANTA CATARINA;SU;SUL;4592421,5;7665;809077,45;721;3649486,91;4307;1131288,09;1899;796;68;671;73
5069;2022-05-01;3148806;PEDRA DO ANTA;31;MINAS GERAIS;SE;SUDESTE;2104907,95;8803;355943,78;360;2315135,35;7215;250296,47;545;766;42;785;37
2970;2022-05-01;2608057;JATOBÁ;26;PERNAMBUCO;NE;NORDESTE;12182293,92;68030;4583868,61;1462;10958999,1;54509;3452589,48;3604;4583;87;4572;85
2224;2022-05-01;2102200;BURITI;21;MARANHÃO;NE;NORDESTE;14468268,0;81426;2457185,65;1657;13263582,11;66714;1503548,96;4308;5853;97;5582;97
1609;2022-05-01;3104700;ATALÉIA;31;MINAS GERAIS;SE;SUDESTE;12025886,75;47878;1959704,48;1604;11932573,64;37878;2822971,61;4176;3622;129;3618;147
1138;2022-05-01;1702901;AXIXÁ DO TOCANTINS;17;TOCANTINS;NO;NORTE;14712830,8;64519;2067253,78;1878;14114177,78;53458;2726909,56;4255;3798;108;4184;95
2527;2022-05-01;2203420;DOMINGOS MOURÃO;22;PIAUÍ;NE;NORDESTE;2691875,4;14689;67775,04;201;2911882,49;12077;64081,95;333;1043;17;1119;19
2519;2022-05-01;1718402;PRESIDENTE KENNEDY;17;TOCANTINS;NO;NORTE;4386279,59;22150;918542,34;977;4617236,3;18317;1110423,83;2516;1263;47;1330;47
4127;2022-05-01;2926301;RIACHÃO DO JACUÍPE;29;BAHIA;NE;NORDESTE;43934647,25;192413;27283108,13;10747;46359379,66;170570;30362639,1;23549;11118;646;11766;615
346;2022-05-01;3515806;FLORA RICA;35;SÃO PAULO;SE;SUDESTE;1688892,05;6919;151335,84;147;1656005,09;4989;138214,54;489;568;13;560;17
4522;2022-05-01;4110052;IGUATU;41;PARANÁ;SU;SUL;1719033,79;7116;1211208,93;491;1714584,33;5270;1371198,05;1154;670;42;624;40
2994;2022-05-01;2410306;SERRA CAIADA;24;RIO GRANDE DO NORTE;NE;NORDESTE;7482423,01;38264;4840600,16;2236;7338330,99;34573;4212298,22;4880;2493;91;2657;84
2049;2022-05-01;3542503;REGINÓPOLIS;35;SÃO PAULO;SE;SUDESTE;7822670,65;33361;2560914,04;2183;8044945,19;26210;2517125,11;4329;2514;145;2409;155
865;2022-05-01;3139003;MACHADO;31;MINAS GERAIS;SE;SUDESTE;55410823,96;159073;134171916,12;16541;62330778,47;131205;136315379,17;25981;13630;1152;13889;1110
1362;2022-05-01;3169406;TRÊS PONTAS;31;MINAS GERAIS;SE;SUDESTE;92650912,74;244693;171854782,69;22547;96607052,9;203624;171286851,21;40742;19541;1542;20178;1480
1162;2022-05-01;4311734;MAMPITUBA;43;RIO GRANDE DO SUL;SU;SUL;2588123,94;7916;1097616,21;798;2689414,74;6060;427856,46;1244;754;37;734;33
1853;2022-06-01;3515194;ESPÍRITO SANTO DO TURVO;35;SÃO PAULO;SE;SUDESTE;4427196,99;18128;1890016,09;1206;4905200,12;14443;1303246,58;1658;1683;91;1717;83
281;2022-06-01;3165800;SENADOR JOSÉ BENTO;31;MINAS GERAIS;SE;SUDESTE;1633163,25;4681;153800,64;191;1608924,03;3315;233517,14;293;468;21;424;21
2495;2022-06-01;1702703;AURORA DO TOCANTINS;17;TOCANTINS;NO;NORTE;3432436,89;14589;454278,19;595;3368596,02;11238;464287,68;1279;905;35;938;36
5670;2022-06-01;4110409;INDIANÓPOLIS;41;PARANÁ;SU;SUL;5105385,97;18276;3848063,14;1647;5448317,87;14333;3658493,45;2982;1715;96;1646;104
4530;2022-06-01;4123303;SANTA CRUZ DE MONTE CASTELO;41;PARANÁ;SU;SUL;14726428,13;35286;5890669,64;3328;14079180,26;25751;4899615,86;8402;3047;242;2919;248
1746;2022-06-01;2513943;SÃO DOMINGOS DO CARIRI;25;PARAÍBA;NE;NORDESTE;2355255,37;10531;60216,45;148;2673235,61;8929;62640,12;224;706;11;743;13
3032;2022-06-01;1501253;BANNACH;15;PARÁ;NO;NORTE;6083308,39;19147;775316,32;693;7027015,38;13586;1665356,02;2179;1269;50;1239;47
480;2022-06-01;4114401;MANGUEIRINHA;41;PARANÁ;SU;SUL;25219302,14;58813;42894505,65;7623;26831465,58;40848;30135264,97;14712;5685;473;5538;497
1750;2022-06-01;3553906;TARABAI;35;SÃO PAULO;SE;SUDESTE;8500015,62;35652;3401642,8;2810;9370247,78;28002;4684404,22;4563;2680;176;2650;150
2935;2022-06-01;4317251;SANTA TEREZA;43;RIO GRANDE DO SUL;SU;SUL;928169,8;2944;198602,97;123;895123,95;1781;326317,88;343;373;28;340;32
2617;2022-06-01;5212501;LUZIÂNIA;52;GOIÁS;CO;CENTRO-OESTE;379731864,41;1672362;301758629,96;116450;412320697,74;1485329;209176288,37;249081;92352;5120;98333;4828
2387;2022-06-01;1600303;MACAPÁ;16;AMAPÁ;NO;NORTE;932655789,72;5958516;377748254,84;316193;948375582,13;5261395;363617178,7;676047;252213;9965;252949;9542
1655;2022-06-01;5201405;APARECIDA DE GOIÂNIA;52;GOIÁS;CO;CENTRO-OESTE;1338326496,19;5334058;1102041862,69;434060;1499791656,93;4856984;1119771325,33;1008266;274627;17913;289368;16665
2636;2022-06-01;2205540;LAGOINHA DO PIAUÍ;22;PIAUÍ;NE;NORDESTE;2122465,88;8741;223489,03;350;1553056,6;7323;746733,49;761;648;18;739;13
5221;2022-06-01;3301157;CARDOSO MOREIRA;33;RIO DE JANEIRO;SE;SUDESTE;11508603,57;56261;7785196,7;3675;12183127,36;47760;7002806,31;7663;4422;263;4418;255
1782;2022-06-01;4304408;CANELA;43;RIO GRANDE DO SUL;SU;SUL;86752923,64;299496;65796794,2;49251;94274607,54;241791;75859084,69;91692;22527;2715;22326;2480
1652;2022-06-01;3139003;MACHADO;31;MINAS GERAIS;SE;SUDESTE;55394444,82;166155;89004582,58;16653;62967443,93;137060;97658255,65;27163;14003;1154;14234;1153
5890;2022-06-01;5215256;NOVO PLANALTO;52;GOIÁS;CO;CENTRO-OESTE;6517133,04;18465;1269755,2;1172;7122159,14;13517;1936994,26;2519;1316;83;1386;82
2593;2022-06-01;2102200;BURITI;21;MARANHÃO;NE;NORDESTE;16054222,11;89389;2869785,04;2015;14689653,55;72130;1728892,76;5118;6215;98;5900;101
4540;2022-06-01;2105658;JUNCO DO MARANHÃO;21;MARANHÃO;NE;NORDESTE;5746533,76;30335;671996,45;652;5359685,0;25832;844254,64;1480;1742;27;1759;23
1034;2022-06-01;4215307;SALETE;42;SANTA CATARINA;SU;SUL;9402397,94;28616;22387716,09;5853;9756426,34;17323;17018088,09;10127;2844;423;2589;423
3868;2022-06-01;2915908;ITANAGRA;29;BAHIA;NE;NORDESTE;6116305,22;42707;1178796,15;1509;6255599,68;34392;935538,59;2929;2312;82;2443;68
2806;2022-06-01;2414001;TANGARÁ;24;RIO GRANDE DO NORTE;NE;NORDESTE;16078950,23;94186;3508211,31;3143;15920734,87;86734;3007673,4;9697;5229;160;5472;156
1067;2022-06-01;3540606;PORTO FELIZ;35;SÃO PAULO;SE;SUDESTE;90389258,64;328401;81469892,36;36052;105410437,87;263597;87954384,59;72403;24603;1965;24331;1878
3953;2022-06-01;2409407;PAU DOS FERROS;24;RIO GRANDE DO NORTE;NE;NORDESTE;46250726,92;202015;25145529,0;12101;45113292,74;177355;28690861,25;41618;12183;691;12296;690
5160;2022-06-01;4321600;TRAMANDAÍ;43;RIO GRANDE DO SUL;SU;SUL;88345710,51;378155;46188635,39;48169;96711452,41;322068;38337145,95;95257;24318;2305;24209;2117
3557;2022-06-01;2300408;AIUABA;23;CEARÁ;NE;NORDESTE;10416666,06;61996;700394,11;1064;10306304,43;54748;729576,01;2571;3986;96;4051;95
306;2022-06-01;5204706;CAMPINORTE;52;GOIÁS;CO;CENTRO-OESTE;31212870,17;79519;21825731,56;4922;29562768,29;66112;20611974,58;21927;4795;316;4873;330
4663;2022-06-01;1718501;RECURSOLÂNDIA;17;TOCANTINS;NO;NORTE;3208747,08;15380;461071,35;567;3880606,32;11929;434207,23;776;984;26;1012;24
2453;2022-06-01;3519055;HOLAMBRA;35;SÃO PAULO;SE;SUDESTE;47946302,83;104491;50673354,23;15150;49486902,84;77269;46886763,27;33285;7703;910;7482;877
2471;2022-06-01;3550803;SÃO SEBASTIÃO DA GRAMA;35;SÃO PAULO;SE;SUDESTE;11000755,55;34214;10320375,08;3672;11380846,33;27049;12443789,65;6550;3372;305;3306;321
3566;2022-06-01;1200054;ASSIS BRASIL;12;ACRE;NO;NORTE;5426334,71;21013;1592696,84;886;5339935,4;17077;539604,16;1179;1614;57;1640;51
1161;2022-06-01;2411205;SANTA CRUZ;24;RIO GRANDE DO NORTE;NE;NORDESTE;52425529,06;263222;18268217,09;13228;52023777,03;228954;14580444,4;41374;14687;640;15139;631
